Step,qwen3-4b-adam-3e-6-trace-constraint-1e-4 - actor/kl_loss,qwen3-4b-adam-3e-6-trace-constraint-0.0 - actor/kl_loss
100,0.000436142,0.000544538
101,0.000467145,0.000514409
102,0.000485159,0.00049727
103,0.000443363,0.000489108
104,0.000484427,0.000519523
105,0.000462803,0.000541359
106,0.000450141,0.000524498
107,0.000465496,0.000513374
108,0.000533817,0.00051153
109,0.000528361,0.000522231
110,0.000497964,0.000579528
111,0.000539493,0.000544684
112,0.000493096,0.000553592
113,0.00057062,0.000551635
114,0.000556082,0.000479385
115,0.000544869,0.000554927
116,0.000579444,0.000547454
117,0.000561365,0.000532328
118,0.000563289,0.000558204
119,0.000578648,0.000555677
120,0.000544007,0.000542491
121,0.00051797,0.000540113
122,0.000641398,0.000521316
123,0.000553447,0.000506513
124,0.000578681,0.000588404
125,0.000550576,0.000500441
126,0.000589815,0.000520641
127,0.000594489,0.00051633
128,0.000634786,0.000531772
129,0.000583624,0.00052474
130,0.000615122,0.000534005
131,0.000585537,0.000530125
132,0.000627333,0.000560048
133,0.000598178,0.000544696
134,0.000596182,0.000555604
135,0.000559559,0.000611871
136,0.000524759,0.000565585
137,0.000550134,0.000607256
138,0.000561348,0.000571636
139,0.000549704,0.000578496
140,0.000556636,0.000542591
141,0.000504613,0.000597153
142,0.000522453,0.000571768
143,0.000554989,0.000547762
144,0.000549601,0.0005421
145,0.000553354,0.000615859
146,0.000517635,0.000597431
147,0.00058679,0.00059414
148,0.000538764,0.000599905
149,0.000536784,0.000584605
150,0.000634347,0.000553916
151,0.000639281,0.000548222
152,0.000675005,0.000552563
153,0.000646278,0.000564504
154,0.000646577,0.00052957
155,0.000672352,0.000542881
156,0.00066649,0.000553016
157,0.000623508,0.000614829
158,0.00066912,0.000553321
159,0.000649474,0.000545956
160,0.000688544,0.000589403
161,0.000736248,0.000554702
162,0.000629075,0.00059831
163,0.000698277,0.000573113
164,0.00065273,0.00055083
165,0.000715976,0.000586289
166,0.000739954,0.000595166
167,0.000698396,0.00060106
168,0.000757649,0.000565319
169,0.000738599,0.000566545
170,0.000747618,0.000631378
171,0.000713401,0.000612998
172,0.000725453,0.000590887
173,0.000651078,0.000618675
174,0.000720571,0.000634874
175,0.000661064,0.000647374
176,0.000719375,0.000615222
177,0.000697441,0.000651172
178,0.000676844,0.000630778
179,0.000702692,0.00067253
180,0.000687187,0.000700181
181,0.000669433,0.000698852
182,0.000758303,0.000677342
183,0.000703159,0.000711636
184,0.000678117,0.000699176
185,0.000690319,0.000704231
186,0.000715698,0.000701352
187,0.000738543,0.000734713
188,0.000660798,0.000778275
189,0.000613738,0.000720428
190,0.000531915,0.000855948
191,0.000667507,0.000743562
192,0.000591984,0.000761627
193,0.000683039,0.000807596
194,0.000566132,0.000822418
195,0.000652802,0.000924873
196,0.000673023,0.000923752
197,0.000617512,0.000883013
198,0.000606075,0.000879239
199,0.00059733,0.000945674
200,0.000590361,0.000868602
201,0.000653486,0.000915858
